src,src_name,dest,dest_name,weight
313,CRKL,316,CSF1R,0.5255147948861122
599,GRB2,316,CSF1R,0.6911403796325127
729,IRS1,316,CSF1R,0.5583900190889836
1126,PLCB1,316,CSF1R,0.5658926638464132
1127,PLCB2,316,CSF1R,0.5042975593979161
1128,PLCB3,316,CSF1R,0.5506062579651674
1129,PLCB4,316,CSF1R,0.6437289775038759
1385,SHC1,316,CSF1R,0.523285767599009
1386,SHC2,316,CSF1R,0.8238060951853792
1387,SHC3,316,CSF1R,0.7205315900345642
1388,SHC4,316,CSF1R,0.6521419265773147
318,CSF2RA,317,CSF2,0.4559985814460864
437,EGFR,317,CSF2,0.4605379197125634
685,IL12RB1,317,CSF2,0.7020240024353067
706,IL3RA,317,CSF2,0.3503854287788272
1067,PDGFRA,317,CSF2,0.6641492819879203
1068,PDGFRB,317,CSF2,0.9397799530066552
1220,PRLR,317,CSF2,0.9936235847882924
761,JAK1,318,CSF2RA,0.025236379572500783
762,JAK2,318,CSF2RA,0.029249968286603686
763,JAK3,318,CSF2RA,0.024371960440961026
1580,TYK2,318,CSF2RA,0.02972127829367916
318,CSF2RA,320,CSF3,0.6850771578028798
437,EGFR,320,CSF3,0.4887552159896586
685,IL12RB1,320,CSF3,0.3135018376633525
706,IL3RA,320,CSF3,0.2353914328695585
761,JAK1,320,CSF3,0.5243579622746134
762,JAK2,320,CSF3,0.33481751071910065
763,JAK3,320,CSF3,0.2546701700116197
1067,PDGFRA,320,CSF3,0.19575908250796295
1068,PDGFRB,320,CSF3,0.3884686462348328
1220,PRLR,320,CSF3,0.3638883852749131
318,CSF2RA,335,CTF1,0.7604453217238187
437,EGFR,335,CTF1,0.6388609041537467
685,IL12RB1,335,CTF1,0.7098128625191749
706,IL3RA,335,CTF1,0.5110839547123761
1067,PDGFRA,335,CTF1,0.3528077355430772
1068,PDGFRB,335,CTF1,0.28681300546886634
1220,PRLR,335,CTF1,0.5154701153534308
316,CSF1R,431,EFNA1,0.4539385537306467
437,EGFR,431,EFNA1,0.6535431219885747
458,EPHA2,431,EFNA1,0.6093736402069528
460,ERBB2,431,EFNA1,0.31149136495466034
461,ERBB3,431,EFNA1,0.4054963072296232
462,ERBB4,431,EFNA1,0.7284830773559711
495,FGFR1,431,EFNA1,0.2952664237469435
496,FGFR2,431,EFNA1,0.5886653625095883
497,FGFR3,431,EFNA1,0.5599654025087754
498,FGFR4,431,EFNA1,0.4353036717589324
507,FLT1,431,EFNA1,0.7793345730130871
508,FLT3,431,EFNA1,0.4825888508309921
510,FLT4,431,EFNA1,0.7705819800496102
674,IGF1R,431,EFNA1,0.3191265519708395
718,INSR,431,EFNA1,0.2481763603941848
776,KDR,431,EFNA1,0.3828865392909696
780,KIT,431,EFNA1,0.440551634846876
931,MET,431,EFNA1,0.3774540019997706
988,NGFR,431,EFNA1,0.5447718059333662
1023,NTRK1,431,EFNA1,0.4870044803557296
1024,NTRK2,431,EFNA1,0.2295156463515013
1067,PDGFRA,431,EFNA1,0.6486520392199357
1068,PDGFRB,431,EFNA1,0.4514604775235057
1506,TEK,431,EFNA1,0.6436099934973755
316,CSF1R,433,EFNA3,0.5332858220480071
437,EGFR,433,EFNA3,0.2383968522772193
458,EPHA2,433,EFNA3,0.24272811987126866
460,ERBB2,433,EFNA3,0.2512158511827389
461,ERBB3,433,EFNA3,0.3246238358939688
462,ERBB4,433,EFNA3,0.5004871788900346
495,FGFR1,433,EFNA3,0.2926201008570691
496,FGFR2,433,EFNA3,0.5762180605282387
497,FGFR3,433,EFNA3,0.3573275298190613
498,FGFR4,433,EFNA3,0.4872072770260274
507,FLT1,433,EFNA3,0.5398578235879541
508,FLT3,433,EFNA3,0.6618151723407211
510,FLT4,433,EFNA3,0.3981412775193652
674,IGF1R,433,EFNA3,0.3272295604770382
718,INSR,433,EFNA3,0.14564265265750384
776,KDR,433,EFNA3,0.8200584971501181
780,KIT,433,EFNA3,0.4770561753461758
931,MET,433,EFNA3,0.21754859754194814
988,NGFR,433,EFNA3,0.6327966134374341
1023,NTRK1,433,EFNA3,0.40314042683069895
1024,NTRK2,433,EFNA3,0.5119702342897654
1067,PDGFRA,433,EFNA3,0.4764858525556823
1068,PDGFRB,433,EFNA3,0.5325194664299489
1506,TEK,433,EFNA3,0.4561948613418887
316,CSF1R,434,EFNA4,0.5801935086414839
437,EGFR,434,EFNA4,0.3402843544880549
458,EPHA2,434,EFNA4,0.2452480759471655
460,ERBB2,434,EFNA4,0.3135470286632577
461,ERBB3,434,EFNA4,0.4859661212190985
462,ERBB4,434,EFNA4,0.5609406368341298
495,FGFR1,434,EFNA4,0.3035424875095487
496,FGFR2,434,EFNA4,0.5327764918736647
497,FGFR3,434,EFNA4,0.35496751042082897
498,FGFR4,434,EFNA4,0.506605166507264
507,FLT1,434,EFNA4,0.2674144562333822
508,FLT3,434,EFNA4,1.0102981368855883
510,FLT4,434,EFNA4,0.604531107035776
674,IGF1R,434,EFNA4,0.4423714937331775
718,INSR,434,EFNA4,0.3933505026177348
776,KDR,434,EFNA4,0.8333135138576229
780,KIT,434,EFNA4,0.4963947455243518
931,MET,434,EFNA4,0.6295719445683061
988,NGFR,434,EFNA4,0.8020796575350687
1023,NTRK1,434,EFNA4,0.5130063246314724
1024,NTRK2,434,EFNA4,0.7554157167828331
1067,PDGFRA,434,EFNA4,0.6161840842726329
1068,PDGFRB,434,EFNA4,0.6854686444004376
