gene_idx,gene_name,out_degree,in_degree,degree
45,AKT3,16.064578718668297,12.044928001398997,28.109506720067294
46,ALDOA,0.0,0.11961132460467827,0.11961132460467827
47,AMH,0.10323423201722715,1.2124205554680276,1.3156547874852547
48,AMOT,0.061580062052235006,0.030433325314273438,0.09201338736650844
49,ANAPC1,0.30320778553092015,0.5319069885027905,0.8351147740337106
50,ANAPC10,0.5247663207400667,0.2068766569246994,0.731642977664766
51,ANAPC11,0.3533670559156841,0.4656046278134454,0.8189716837291295
52,ANAPC13,0.47444234594004225,0.28635398838766074,0.760796334327703
53,ANAPC2,0.4732208420386693,0.2866908419799681,0.7599116840186374
54,ANAPC4,0.431035619770652,0.33293842732770523,0.7639740470983573
55,ANAPC5,0.3983931180632983,0.4005730898536664,0.7989662079169647
56,ANAPC7,0.36776448095139735,0.43482948983097836,0.8025939707823757
57,ANGPT1,19.551924072715064,0.4361954680799196,19.988119540794983
58,ANGPT2,15.271791720037193,1.0025635053403676,16.274355225377562
59,AOX1,0.0,2.984145599623056,2.984145599623056
60,APAF1,0.02944678105413914,0.0,0.02944678105413914
61,APBB1IP,0.1868330189725384,0.0641797361895442,0.2510127551620826
62,APC,0.20259337094612417,0.23213990253085892,0.4347332734769831
63,APC2,0.22918014255343833,0.14776034086632234,0.37694048341976066
64,APH1A,0.23283763822012893,0.031781918136402965,0.2646195563565319
65,APH1B,0.1143304915788273,0.14630059294092157,0.26063108451974887
66,ARAF,0.6080544922035186,0.17551487463351806,0.7835693668370367
67,ARAP3,0.031087133885982134,0.05905062980794658,0.09013776369392872
68,AREG,14.346369201419535,0.4691947341275712,14.815563935547106
69,ARF1,0.6608722240198404,0.1167029124199568,0.7775751364397971
70,ARF6,0.9926159433176507,0.030861706100404257,1.0234776494180549
71,ARHGDIA,0.030015768172840275,0.033921977551653985,0.06393774572449426
72,ARHGDIB,0.03757545755555232,0.02390895305822293,0.06148441061377525
73,ARHGDIG,0.02981873848475516,0.03160870308056474,0.0614274415653199
74,ARHGEF12,1.867449747251036,0.026764918103193244,1.8942146653542293
75,ARNT,4.0323563857595826,1.3008220624178648,5.333178448177447
76,ARRB1,1.2562200938060415,0.1052456382351617,1.3614657320412031
77,ARRB2,1.0652644037637704,0.09643188229141136,1.1616962860551818
78,ATF2,4.258740501544283,6.936081242064635,11.194821743608918
79,ATF4,2.561642074173627,11.601100942261109,14.162743016434735
80,ATF6B,1.8228791737890182,4.086339312877195,5.909218486666213
81,ATG12,0.20078442071777922,0.22589477542787792,0.42667919614565714
82,ATG16L1,0.1581768518818232,0.05206982983897129,0.2102466817207945
83,ATG5,0.17916925039802056,0.10339962736082574,0.2825688777588463
84,ATM,0.30125026257519494,0.12152299537168194,0.42277325794687687
85,ATP1A1,0.0,0.29269913668249503,0.29269913668249503
86,ATP1A3,0.0,0.34368452918643017,0.34368452918643017
87,ATP1B1,0.0,0.3395085747741784,0.3395085747741784
88,ATP1B2,0.0,0.30514548610469017,0.30514548610469017
89,ATP1B3,0.0,0.3204294963778618,0.3204294963778618
90,ATP2A2,0.0,0.054591110234226414,0.054591110234226414
91,ATP2B1,0.0,0.1167502344159099,0.1167502344159099
92,ATP2B2,0.0,0.12504295346637567,0.12504295346637567
93,ATP2B4,0.0,0.1200159848522162,0.1200159848522162
94,ATP6V1A,0.16914722364939128,0.0,0.16914722364939128
95,ATP6V1B1,0.14088081581673273,0.0,0.14088081581673273
96,ATP6V1B2,0.14556795797155547,0.0,0.14556795797155547
97,ATP6V1C1,0.14751751472455604,0.0,0.14751751472455604
98,ATP6V1C2,0.17230529530594746,0.0,0.17230529530594746
99,ATP6V1D,0.14733817032732377,0.0,0.14733817032732377
100,ATP6V1E1,0.13660911582410334,0.0,0.13660911582410334
