src,src_name,dest,dest_name,weight
315,CSF1,776,KDR,0.5859267782070674
315,CSF1,780,KIT,0.7011416819567482
315,CSF1,931,MET,0.2795638404941807
315,CSF1,988,NGFR,0.4682517633307726
315,CSF1,1023,NTRK1,0.8450963984554012
315,CSF1,1024,NTRK2,0.31113375374892105
315,CSF1,1067,PDGFRA,0.73580784634687
315,CSF1,1068,PDGFRB,0.7073943205245692
315,CSF1,1506,TEK,0.5495257600753878
316,CSF1R,312,CRK,0.4716528686035114
316,CSF1R,313,CRKL,0.6658957153442315
316,CSF1R,599,GRB2,0.6581168179555485
316,CSF1R,729,IRS1,0.8388347525149584
316,CSF1R,1126,PLCB1,0.575407942617312
316,CSF1R,1127,PLCB2,0.5961446499219164
316,CSF1R,1128,PLCB3,0.6660022654725861
316,CSF1R,1129,PLCB4,0.5392806374584325
316,CSF1R,1385,SHC1,0.4647719331900589
316,CSF1R,1386,SHC2,0.6819990531774238
316,CSF1R,1387,SHC3,0.6344914109290887
316,CSF1R,1388,SHC4,0.596704877144657
317,CSF2,437,EGFR,0.5811059490234279
317,CSF2,1067,PDGFRA,0.7073207594066238
317,CSF2,1068,PDGFRB,0.8428648836134622
317,CSF2,1220,PRLR,0.5932765447689841
320,CSF3,437,EGFR,0.6125571371201659
320,CSF3,761,JAK1,0.5441101577637406
320,CSF3,762,JAK2,0.50805356806765
320,CSF3,763,JAK3,0.4577387107788429
320,CSF3,1067,PDGFRA,0.4261456833143408
320,CSF3,1068,PDGFRB,0.9414434590182889
320,CSF3,1220,PRLR,0.4927036159380804
335,CTF1,437,EGFR,0.7363630996590169
335,CTF1,1067,PDGFRA,0.6312233442828681
335,CTF1,1068,PDGFRB,0.7977979894754148
335,CTF1,1220,PRLR,0.4958141291717765
431,EFNA1,316,CSF1R,0.6703886208434899
431,EFNA1,437,EGFR,0.5672266035651168
431,EFNA1,458,EPHA2,0.6786761764281739
431,EFNA1,460,ERBB2,0.3469070015319934
431,EFNA1,461,ERBB3,0.3446282573199521
431,EFNA1,462,ERBB4,0.5636228726478294
431,EFNA1,495,FGFR1,0.5846105110521118
431,EFNA1,496,FGFR2,0.5223277026476959
